name,patch_size,d_model,n_heads,num_layers,pooling,activation,dropout,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
tf_p32_d256_h4_L1_attn_gelu_t33,32,256,4,1,attn,gelu,0.0,0.003,-,-,-,16,60,1.8487013576416773,nan,456.8
tf_p16_d192_h8_L2_attn_gelu_t34,16,192,8,2,attn,gelu,0.1,0.003,-,-,-,16,75,1.2486043003154528,nan,1637.5
tf_p16_d256_h4_L1_attn_gelu_t35,16,256,4,1,attn,gelu,0.1,0.002,-,-,-,64,120,0.9387347191282458,nan,1195.0
tf_p16_d128_h2_L2_attn_relu_t36,16,128,2,2,attn,relu,0.2,0.003,-,-,-,32,120,1.2689581033250767,nan,1235.0
tf_p16_d384_h2_L1_attn_gelu_t37,16,384,2,1,attn,gelu,0.2,0.003,-,-,-,64,65,1.9634139869103606,nan,833.3
tf_p32_d128_h4_L2_attn_gelu_t38,32,128,4,2,attn,gelu,0.1,0.003,-,-,-,64,120,0.9775562743952,nan,598.9
tf_p64_d384_h2_L1_attn_gelu_t39,64,384,2,1,attn,gelu,0.2,0.003,-,-,-,32,55,2.052610244920419,nan,274.7
tf_p32_d128_h2_L1_mean_relu_t40,32,128,2,1,mean,relu,0.1,0.001,-,-,-,16,120,0.9742096459110271,nan,939.0
tf_p64_d128_h8_L1_mean_relu_t41,64,128,8,1,mean,relu,0.1,0.003,-,-,-,32,120,0.987044722131543,nan,470.9
tf_p64_d384_h4_L2_attn_relu_t42,64,384,4,2,attn,relu,0.2,0.003,-,-,-,16,50,2.057964578715499,nan,503.8
tf_p64_d128_h2_L1_mean_gelu_t43,64,128,2,1,mean,gelu,0.0,0.001,-,-,-,64,120,0.96057887164051,nan,238.4
tf_p16_d256_h8_L2_mean_gelu_t44,16,256,8,2,mean,gelu,0.0,0.001,-,-,-,64,120,0.9212706034270621,nan,2125.0
tf_p16_d192_h2_L2_attn_gelu_t45,16,192,2,2,attn,gelu,0.0,0.003,-,-,-,16,120,1.0844053446027684,nan,2080.8
tf_p16_d384_h8_L2_mean_gelu_t46,16,384,8,2,mean,gelu,0.1,0.003,-,-,-,64,120,0.9531333168161183,nan,3595.9
tf_p64_d384_h2_L1_mean_relu_t47,64,384,2,1,mean,relu,0.0,0.001,-,-,-,32,120,0.9561867738705212,nan,903.5
tf_p32_d192_h8_L2_mean_gelu_t48,32,192,8,2,mean,gelu,0.1,0.001,-,-,-,16,120,0.9450606320114532,nan,1557.8
tf_p16_d256_h4_L1_mean_relu_t49,16,256,4,1,mean,relu,0.1,0.001,-,-,-,16,120,0.9284540976488547,nan,1861.8
